"index","unique_id","ds","model_label","cutoff","y","forecast","lower","upper","partition","model_name"
"147","1","2024-11-27T16:00:00.000","knn","2024-11-26T11:00:00.000","467407","459426.59375","394632.7171875","524220.4703125","1","KNeighborsRegressor"
"148","1","2024-11-27T16:00:00.000","knn","2024-11-26T23:00:00.000","467407","469186","418379.68984375","519992.31015625","2","KNeighborsRegressor"
"149","1","2024-11-27T16:00:00.000","knn","2024-11-27T11:00:00.000","467407","491518.59375","475002.18125","508035.00625","3","KNeighborsRegressor"
"150","1","2024-11-27T16:00:00.000","mlp","2024-11-26T11:00:00.000","467407","432291.34375","378154.7","486427.9875","1","MLPRegressor"
"151","1","2024-11-27T16:00:00.000","mlp","2024-11-26T23:00:00.000","467407","484429.59375","387950.16796875","580909.01953125","2","MLPRegressor"
"152","1","2024-11-27T16:00:00.000","mlp","2024-11-27T11:00:00.000","467407","430499.21875","414934.73125","446063.70625","3","MLPRegressor"
"153","1","2024-11-27T17:00:00.000","enet","2024-11-26T11:00:00.000","467932","465797.25","448433.103125","483161.396875","1","ElasticNet"
"154","1","2024-11-27T17:00:00.000","enet","2024-11-26T23:00:00.000","467932","469714.96875","450939.02265625","488490.91484375","2","ElasticNet"
"155","1","2024-11-27T17:00:00.000","enet","2024-11-27T11:00:00.000","467932","461550.3125","439055.92890625","484044.69609375","3","ElasticNet"
"156","1","2024-11-27T17:00:00.000","knn","2024-11-26T11:00:00.000","467932","460958.8125","397258.08671875","524659.53828125","1","KNeighborsRegressor"
"157","1","2024-11-27T17:00:00.000","knn","2024-11-26T23:00:00.000","467932","468501.1875","427789.30859375","509213.06640625","2","KNeighborsRegressor"
"158","1","2024-11-27T17:00:00.000","knn","2024-11-27T11:00:00.000","467932","488552.1875","452892.8921875","524211.4828125","3","KNeighborsRegressor"
"159","1","2024-11-27T17:00:00.000","mlp","2024-11-26T11:00:00.000","467932","435811.375","422730.2859375","448892.4640625","1","MLPRegressor"
"160","1","2024-11-27T17:00:00.000","mlp","2024-11-26T23:00:00.000","467932","484666.8125","431636.60078125","537697.02421875","2","MLPRegressor"
"161","1","2024-11-27T17:00:00.000","mlp","2024-11-27T11:00:00.000","467932","427525.9375","391908.69609375","463143.17890625","3","MLPRegressor"
"162","1","2024-11-27T18:00:00.000","enet","2024-11-26T11:00:00.000","467581","470442.5","450992.96796875","489892.03203125","1","ElasticNet"
"163","1","2024-11-27T18:00:00.000","enet","2024-11-26T23:00:00.000","467581","468597.25","454106.58203125","483087.91796875","2","ElasticNet"
"164","1","2024-11-27T18:00:00.000","enet","2024-11-27T11:00:00.000","467581","463130.5625","451835.659375","474425.465625","3","ElasticNet"
"165","1","2024-11-27T18:00:00.000","knn","2024-11-26T11:00:00.000","467581","459336.59375","402253.18203125","516420.00546875","1","KNeighborsRegressor"
"166","1","2024-11-27T18:00:00.000","knn","2024-11-26T23:00:00.000","467581","467498.40625","434371.9078125","500624.9046875","2","KNeighborsRegressor"
"167","1","2024-11-27T18:00:00.000","knn","2024-11-27T11:00:00.000","467581","483173","464922.72421875","501423.27578125","3","KNeighborsRegressor"
"168","1","2024-11-27T18:00:00.000","mlp","2024-11-26T11:00:00.000","467581","439029.40625","394459.7703125","483599.0421875","1","MLPRegressor"
"169","1","2024-11-27T18:00:00.000","mlp","2024-11-26T23:00:00.000","467581","483498.75","401043.971875","565953.528125","2","MLPRegressor"
"170","1","2024-11-27T18:00:00.000","mlp","2024-11-27T11:00:00.000","467581","424603.34375","401306.0046875","447900.6828125","3","MLPRegressor"
"171","1","2024-11-27T19:00:00.000","enet","2024-11-26T11:00:00.000","468461","475025.15625","455106.71796875","494943.59453125","1","ElasticNet"
"172","1","2024-11-27T19:00:00.000","enet","2024-11-26T23:00:00.000","468461","466648.75","453776.6765625","479520.8234375","2","ElasticNet"
"173","1","2024-11-27T19:00:00.000","enet","2024-11-27T11:00:00.000","468461","463891.75","453371.46953125","474412.03046875","3","ElasticNet"
"174","1","2024-11-27T19:00:00.000","knn","2024-11-26T11:00:00.000","468461","459242.40625","410123.240625","508361.571875","1","KNeighborsRegressor"
"175","1","2024-11-27T19:00:00.000","knn","2024-11-26T23:00:00.000","468461","466574.1875","446719.1859375","486429.1890625","2","KNeighborsRegressor"
"176","1","2024-11-27T19:00:00.000","knn","2024-11-27T11:00:00.000","468461","476219","461461.03828125","490976.96171875","3","KNeighborsRegressor"
"177","1","2024-11-27T19:00:00.000","mlp","2024-11-26T11:00:00.000","468461","442910.5625","402947.76484375","482873.36015625","1","MLPRegressor"
"178","1","2024-11-27T19:00:00.000","mlp","2024-11-26T23:00:00.000","468461","481998.03125","403720.396875","560275.665625","2","MLPRegressor"
"179","1","2024-11-27T19:00:00.000","mlp","2024-11-27T11:00:00.000","468461","423414.3125","399052.8125","447775.8125","3","MLPRegressor"
"180","1","2024-11-27T20:00:00.000","enet","2024-11-26T11:00:00.000","469307","480402.9375","457063.246875","503742.628125","1","ElasticNet"
"181","1","2024-11-27T20:00:00.000","enet","2024-11-26T23:00:00.000","469307","466153","455649.79765625","476656.20234375","2","ElasticNet"
"182","1","2024-11-27T20:00:00.000","enet","2024-11-27T11:00:00.000","469307","465211.59375","456421.7234375","474001.4640625","3","ElasticNet"
"183","1","2024-11-27T20:00:00.000","knn","2024-11-26T11:00:00.000","469307","459400.8125","412712.45","506089.175","1","KNeighborsRegressor"
"184","1","2024-11-27T20:00:00.000","knn","2024-11-26T23:00:00.000","469307","468507.8125","455205.0234375","481810.6015625","2","KNeighborsRegressor"
"185","1","2024-11-27T20:00:00.000","knn","2024-11-27T11:00:00.000","469307","470129.40625","451246.56875","489012.24375","3","KNeighborsRegressor"
"186","1","2024-11-27T20:00:00.000","mlp","2024-11-26T11:00:00.000","469307","447775.625","412828.721875","482722.528125","1","MLPRegressor"
"187","1","2024-11-27T20:00:00.000","mlp","2024-11-26T23:00:00.000","469307","483011.78125","409738.39765625","556285.16484375","2","MLPRegressor"
"188","1","2024-11-27T20:00:00.000","mlp","2024-11-27T11:00:00.000","469307","424857.4375","396036.0046875","453678.8703125","3","MLPRegressor"
"189","1","2024-11-27T21:00:00.000","enet","2024-11-26T11:00:00.000","470896","486557.53125","460531.5546875","512583.5078125","1","ElasticNet"
"190","1","2024-11-27T21:00:00.000","enet","2024-11-26T23:00:00.000","470896","469154.8125","462301.0421875","476008.5828125","2","ElasticNet"
"191","1","2024-11-27T21:00:00.000","enet","2024-11-27T11:00:00.000","470896","469143.53125","463741.7203125","474545.3421875","3","ElasticNet"
