"index","unique_id","ds","cutoff","y","knn","mlp","enet","knn-lo-95","knn-hi-95","mlp-lo-95","mlp-hi-95","enet-lo-95","enet-hi-95"
"104","1","2024-11-28T08:00:00.000","2024-11-26T23:00:00.000","393739","393917.40625","438619.5","403806.1875","361499.77421875","426335.03828125","315723.784375","561515.215625","371301.46953125","436310.90546875"
"105","1","2024-11-28T09:00:00.000","2024-11-26T23:00:00.000","387000","388417.59375","436116.75","401006.5","355082.54296875","421752.64453125","301307.28046875","570926.21953125","368421.49765625","433591.50234375"
"106","1","2024-11-28T10:00:00.000","2024-11-26T23:00:00.000","384377","388679.8125","440022.46875","405448.09375","354148.78203125","423210.84296875","294467.78984375","585577.1476562499","374732.425","436163.7625"
"107","1","2024-11-28T11:00:00.000","2024-11-26T23:00:00.000","385229","395395.59375","449348.375","415860.4375","358085.77265625","432705.41484375","291093.575","607603.175","385079.7671875","446641.1078125"
"108","1","2024-11-28T12:00:00.000","2024-11-26T23:00:00.000","391633","415216.8125","462088.71875","429474.96875","375166.9515625","455266.6734375","282121.8328125","642055.6046875","387854.12734375","471095.81015625"
"109","1","2024-11-28T13:00:00.000","2024-11-26T23:00:00.000","404142","436478.8125","475572.40625","443185.4375","394960.33828125","477997.28671875","279291.4984375","671853.3140625","391160.98828125","495209.88671875"
"110","1","2024-11-28T14:00:00.000","2024-11-26T23:00:00.000","420907","453759.1875","487509.46875","454718.65625","417723.72578125","489794.64921875","291346.2171875","683672.7203125","405066.4078125","504370.9046875"
"111","1","2024-11-28T15:00:00.000","2024-11-26T23:00:00.000","440964","460326.8125","496382.3125","462985.875","428612.553125","492041.071875","309739.52265625","683025.10234375","421771.36796875","504200.38203125"
"112","1","2024-11-28T16:00:00.000","2024-11-26T23:00:00.000","457446","464011.59375","501872.9375","467783.71875","439137.4140625","488885.7734375","326088.15703125","677657.71796875","433942.92109375","501624.51640625"
"113","1","2024-11-28T17:00:00.000","2024-11-26T23:00:00.000","466889","464797.8125","504391.46875","469523.9375","444435.88046875","485159.74453125","339559.184375","669223.753125","441666.66640625","497381.20859375"
"114","1","2024-11-28T18:00:00.000","2024-11-26T23:00:00.000","467330","467453.1875","505576.03125","469411.15625","449241.6234375","485664.7515625","351831.76171875","659320.30078125","447115.89140625","491706.42109375"
"115","1","2024-11-28T19:00:00.000","2024-11-26T23:00:00.000","459047","466224","506914.9375","469194.3125","450268.1515625","482179.8484375","357484.74296875","656345.13203125","445392.7765625","492995.8484375"
"116","1","2024-11-28T20:00:00.000","2024-11-26T23:00:00.000","449599","464833.59375","509896.21875","470417.125","446316.73359375","483350.45390625","359915.3734375","659877.0640625","446049.7578125","494784.4921875"
"117","1","2024-11-28T21:00:00.000","2024-11-26T23:00:00.000","441221","462374.8125","515079","473932.8125","438617.15546875","486132.46953125","364218.7375","665939.2625","450023.3421875","497842.2828125"
"118","1","2024-11-28T22:00:00.000","2024-11-26T23:00:00.000","436499","463216.40625","522150","479394.09375","433915.39296875","492517.41953125","369713.0125","674586.9875","455924.2546875","502863.9328125"
"119","1","2024-11-28T23:00:00.000","2024-11-26T23:00:00.000","435231","471117","529641.75","485542.03125","435555.9625","506678.0375","373513.4609375","685770.0390625","460279.7578125","510804.3046875"
"120","1","2024-11-29T00:00:00.000","2024-11-26T23:00:00.000","434944","475143.8125","535680.375","489140.5","436058.37734375","514229.24765625","380509.5359375","690851.2140625","464673.28828125","513607.71171875"
"121","1","2024-11-29T01:00:00.000","2024-11-26T23:00:00.000","434876","476200.8125","538357.75","488659.46875","443691.7125","508709.9125","391067.99375","685647.50625","469611.6515625","507707.2859375"
"122","1","2024-11-29T02:00:00.000","2024-11-26T23:00:00.000","434605","471086.8125","536135.625","483123.65625","449687.99375","492485.63125","400052.88984375","672218.36015625","470706.115625","495541.196875"
"123","1","2024-11-29T03:00:00.000","2024-11-26T23:00:00.000","432335","461697","528560.5625","472586","447125.62578125","476268.37421875","405097.2171875","652023.9078125","458262.3625","486909.6375"
