unique_id,ds,cutoff,y,lightGBM,xgboost,linear_regression,lasso,ridge,lightGBM-lo-95,lightGBM-hi-95,xgboost-lo-95,xgboost-hi-95,linear_regression-lo-95,linear_regression-hi-95,lasso-lo-95,lasso-hi-95,ridge-lo-95,ridge-hi-95
1,2024-04-15 23:00:00,2024-04-13 23:00:00,487088.92,452489.1478443233,449532.84,429296.38710551016,428707.7203018808,429296.38088238897,431885.1710717502,473093.1246168964,428698.21249999997,470367.47500000003,393898.1182381909,464694.65597282944,393484.2542049321,463931.1863988295,393897.9849178819,464694.77684689604
1,2024-04-16 00:00:00,2024-04-13 23:00:00,482899.97,451305.0355931799,452833.66,432029.70041277574,431277.06834386307,432029.6853131058,431998.5855554146,470611.48563094524,434006.9855625,471660.3269375,399557.56405499496,464501.8367705565,400016.64328105556,462537.4934066706,399557.4055282684,464501.9650979432
1,2024-04-16 01:00:00,2024-04-13 23:00:00,480385.42,446964.61321515316,452494.72,430785.6403563474,429967.180064829,430785.61060939985,431798.50641254993,462130.7200177564,435215.39434374997,469774.04315625003,409218.88941768755,452352.3912950072,410503.127335973,449431.232793685,409218.6940232242,452352.52719557553
1,2024-04-16 02:00:00,2024-04-13 23:00:00,471010.99,435151.7581109169,443999.72,425323.21676937555,424640.57652202627,425323.1675319188,422199.2283305801,448104.28789125365,424511.10078125,463488.33671875,410778.28257950203,439868.15095924906,411252.7002032019,438028.45284085063,410778.5094058471,439867.82565799047
1,2024-04-16 03:00:00,2024-04-13 23:00:00,450627.08,418422.9035893077,428433.1,416256.03947410197,415958.74591446837,416255.9681216783,404513.67156779603,432332.1356108193,406870.728625,449995.458875,399087.6128208033,433424.46612740064,399985.91718769085,431931.5746412459,399087.8891595564,433424.04708380013
1,2024-04-16 04:00:00,2024-04-13 23:00:00,426440.21,398000.1654893942,407588.34,404810.94770800695,405086.58869904635,404810.85472443834,386960.7151803477,409039.61579844076,381341.19525,433835.49225,379703.03274915094,429918.86266686296,381356.1667234948,428817.01067459787,379703.26809552964,429918.44135334704
1,2024-04-16 05:00:00,2024-04-13 23:00:00,402885.12,381016.70505115634,389468.06,392663.058158638,393430.0877836553,392662.9461877192,371372.6183440982,390660.7917582145,364396.0006875,414540.1243125,361395.8735018059,423930.24281547015,362912.1543798968,423948.02118741383,361396.09287370177,423929.7995017366
1,2024-04-16 06:00:00,2024-04-13 23:00:00,384909.64,368655.48370667244,374392.06,381493.5641202563,382503.9822971251,381493.43690680957,358801.1118738778,378509.85553946707,347195.03949999996,401589.08550000004,346935.4710918665,416051.6571486461,347820.7681751168,417187.1964191334,346935.73888712504,416051.13492649415
1,2024-04-16 07:00:00,2024-04-13 23:00:00,371684.95,361728.17516646534,363265.5,372718.84113715345,373872.2952834779,372718.7043088711,350310.41704117897,373145.9332917517,333963.50803125,392567.49196875,335614.70690278756,409822.97537151934,336341.5741863504,411403.01638060546,335614.97310704057,409822.4355107017
1,2024-04-16 08:00:00,2024-04-13 23:00:00,362939.92,357455.9845128379,357496.62,367532.4128827499,368824.29137137247,367532.27266730333,345378.5922194094,369533.3768062664,327226.389875,387766.860125,327139.2518035824,407925.5739619174,327539.9299097759,410108.6528329691,327139.39268656104,407925.1526480457
1,2024-04-16 09:00:00,2024-04-13 23:00:00,360910.07,358249.355208887,358422.5,366618.72974491265,367847.6337254038,366618.5896427808,345387.5654273976,371111.14499037643,326861.28115625,389983.71884375,324930.29047630343,408307.16901352187,325251.0828823631,410444.18456844456,324930.4327405167,408306.7465450448
1,2024-04-16 10:00:00,2024-04-13 23:00:00,367283.76,367788.8207832935,365804.78,369634.42759469716,370493.798539379,369634.2885505523,354506.5875687554,381071.05399783165,335306.74796875,396302.81453125,330747.32436749246,408521.53082190186,330906.9615174467,410080.63556131127,330747.4686497067,408521.10845139786
1,2024-04-16 11:00:00,2024-04-13 23:00:00,385463.87,389424.15682682267,387216.56,375418.7101020948,375774.4044850764,375418.5715390976,373169.92893015937,405678.384723486,354699.2133125,419733.9116875,349844.74413344474,400992.6760707449,350262.1334360214,401286.67553413135,349844.8667018708,400992.27637632436
1,2024-04-16 12:00:00,2024-04-13 23:00:00,404136.05,409444.7138403245,408863.44,382632.67287120974,382538.2263594275,382632.5319944008,388563.5706806408,430325.85700000817,376801.49403125,440925.38096875,364592.49151566456,400672.8542267549,363277.22298624314,401799.22973261186,364592.16990852694,400672.8940802746
1,2024-04-16 13:00:00,2024-04-13 23:00:00,413106.04,421358.4069572549,419408.66,389991.3592147681,389622.11230798863,389991.21230142214,401904.9128902973,440811.90102421254,391801.88759375,447015.42490625,371443.0855399184,408539.6328896178,371841.28410607285,407402.9405099044,371442.7106810901,408539.7139217542
1,2024-04-16 14:00:00,2024-04-13 23:00:00,421655.09,430319.95800832886,427028.1,396620.733244407,396088.8799419243,396620.5782142646,415279.261445305,445360.6545713527,406335.85325,447720.33425,374490.5288107894,418750.9376780246,375761.17700828216,416416.58287556644,374490.0930151166,418751.0634134126
1,2024-04-16 15:00:00,2024-04-13 23:00:00,430283.26,435463.9924525309,429681.0,402156.9550206203,401509.2584629332,402156.79169827735,424107.9731171565,446820.0117879053,414615.43996875,444746.56003125,376326.557002089,427987.35303915164,377006.6327024683,426011.88422339805,376326.24359840003,427987.33979815466
1,2024-04-16 16:00:00,2024-04-13 23:00:00,437605.03,439211.46297990234,432886.72,406714.21171193366,406043.6141966361,406714.0419443205,426633.53042972507,451789.3955300796,419273.126875,446500.310625,377206.4016920766,436222.02173179074,377437.1179168937,434650.11047637847,377206.0860226127,436221.9978660283
1,2024-04-16 17:00:00,2024-04-13 23:00:00,444190.01,443475.58531608566,436579.22,410751.9239135852,410232.40168049204,410751.75146928214,428819.09714984085,458132.07348233054,423059.52334375,450098.91415625,378857.2675003351,442646.5803268353,378674.1385025016,441790.6648584825,378857.1266968831,442646.37624168117
1,2024-04-16 18:00:00,2024-04-13 23:00:00,451369.67,445916.83919836784,439246.38,414982.5522069297,414647.0866176072,414982.38066863635,428872.497961215,462961.1804355207,424298.539375,454194.210625,381493.35792665806,448471.74648720137,381601.736028749,447692.43720646546,381493.2224903003,448471.5388469724
1,2024-04-16 19:00:00,2024-04-13 23:00:00,458630.63,449659.0098202407,441230.16,419955.96590315114,419670.17564268195,419955.7986181897,431572.2311081674,467745.78853231407,426015.7798125,456444.5326875,385539.54129224236,454372.3905140599,385656.4684528672,453683.8828324967,385539.4174038468,454372.1798325326
1,2024-04-16 20:00:00,2024-04-13 23:00:00,465216.16,452635.31871841924,443590.8,425805.36510645377,425493.69865983154,425805.2048972037,436307.86382428935,468962.7736125491,428311.42603125,458870.19896875,389833.0149719568,461777.71524095075,389777.7290169343,461209.6683027288,389833.00767498935,461777.4021194181
1,2024-04-16 21:00:00,2024-04-13 23:00:00,472799.92,454218.6404091113,446856.97,432382.70050128986,431968.6442635351,432382.54725671816,438875.6935813936,469561.5872368289,430057.0035625,463656.9339375,396000.9031187637,468764.4978838161,395718.6393119579,468218.6492151123,396000.91171779355,468764.18279564276
1,2024-04-16 22:00:00,2024-04-13 23:00:00,480345.93,456068.34766983497,450893.3,438886.59943326574,438289.5381515992,438886.45001552947,442456.23034252174,469680.4649971482,435957.46278124995,465829.16221875005,402173.9231434199,475599.2757231116,401713.161911986,474865.91439121234,402173.94141378545,475598.9586172735
1,2024-04-16 23:00:00,2024-04-13 23:00:00,481191.16,457033.32367159036,452797.72,444152.2594418576,443334.35627867415,444152.1080230951,444184.82883399905,469881.81850918167,439183.46196875,466411.97553125,408893.9828332218,479410.53605049336,408292.9303406638,478375.7822166845,408893.99526313925,479410.220783051
1,2024-04-15 00:00:00,2024-04-14 23:00:00,448420.43,447696.0873367317,447326.62,448862.3464099442,448765.54450108536,448862.3386861233,444212.72092277656,451179.4537506869,442300.900875,452352.349125,447025.5764563757,450699.11636351264,446892.486534455,450638.60246771574,447025.5621990191,450699.1151732275
1,2024-04-15 01:00:00,2024-04-14 23:00:00,448339.15,447209.2106913309,448556.56,445896.7916341758,445660.063105867,445896.76787162875,440033.1989205253,454385.2224621365,441650.4831875,455462.6418125,439363.52501046815,452430.0582578835,440024.49879358953,451295.6274181445,439363.4949943133,452430.0407489442
1,2024-04-15 02:00:00,2024-04-14 23:00:00,442895.54,436502.7310537534,436634.2,438055.53379973007,437763.62096219545,438055.4886873991,427231.44387333497,445774.01823417185,428615.57303125,444652.80196875,428634.59763836587,447476.46996109426,428813.65664872486,446713.58527566603,428634.52869606216,447476.448678736
1,2024-04-15 03:00:00,2024-04-14 23:00:00,425599.48,419099.9683107901,417576.38,426231.4511951719,425893.9587319337,426231.3834990149,408418.36413717084,429781.5724844093,406642.98243750003,428509.76756249997,414386.70863819617,438076.19375214766,414244.91754186223,437542.9999220051,414386.65590178274,438076.1110962471
1,2024-04-15 04:00:00,2024-04-14 23:00:00,403515.52,398521.1245598979,395809.7,411454.174837945,411124.7586243777,411454.0853782427,387936.49819003785,409105.7509297579,385235.46884375,406383.90615625,398118.5210297516,424789.82864613837,397980.631796188,424268.8854525674,398118.4971818594,424789.67357462604
1,2024-04-15 05:00:00,2024-04-14 23:00:00,383166.7,380142.42272106686,377561.53,395326.3009937972,395376.4676710169,395326.1907706062,369532.9519304842,390751.8935116495,369830.2358125,385292.8266875,383271.034157181,407381.5678304134,383656.3057114585,407096.62963057525,383271.00357595744,407381.377965255
1,2024-04-15 06:00:00,2024-04-14 23:00:00,366477.62,365739.0625349167,361146.7,380895.23395119846,381050.2563698318,380895.10476419685,357602.91364768666,373875.2114221467,352937.6068125,369355.7681875,370120.5802967824,391669.8876056145,370727.82870780566,391372.68403185793,370120.5285664968,391669.6809618969
1,2024-04-15 07:00:00,2024-04-14 23:00:00,353684.64,355928.8072362329,354425.47,369549.7680507369,369483.3553735911,369549.6216425547,350449.8837818514,361407.73069061444,345447.97953125,363402.95796875,360045.80530537333,379053.7307961005,360215.5421111962,378751.16863598605,360045.77101747337,379053.47226763604
1,2024-04-15 08:00:00,2024-04-14 23:00:00,346350.56,350735.2337915128,349355.8,361885.0252584767,361674.9661237785,361884.86441620154,345280.3073187593,356190.16026426625,340436.06634375,358275.55865625,351300.6502451046,372469.4002718487,350935.67316853104,372414.25907902594,351300.6100309214,372469.1188014817
1,2024-04-15 09:00:00,2024-04-14 23:00:00,345866.2,348249.88294453605,350140.4,358745.86180865567,358294.284127349,358745.6905338485,340949.149553117,355550.6163359551,342087.7280625,358193.0844375,344847.77000080375,372643.9536165076,343012.9478441146,373575.62041058333,344847.7222304294,372643.65883726755
1,2024-04-15 10:00:00,2024-04-14 23:00:00,353653.08,352150.9364026894,359208.28,359586.25440688967,359192.7816067176,359586.0755022678,341135.69828546094,363166.1745199178,350013.72640625003,368402.83609374997,342183.8937017591,376988.6151120202,340623.6486850563,377761.9145283789,342183.78680024174,376988.3642042939
