index,respondent,type,value,value-units,y
2019-01-11 12:00:00,US48,D,491488,megawatthours,491488.0
2019-01-11 13:00:00,US48,D,520544,megawatthours,520544.0
2019-01-11 14:00:00,US48,D,528622,megawatthours,528622.0
2019-01-11 15:00:00,US48,D,522792,megawatthours,522792.0
2019-01-11 16:00:00,US48,D,512888,megawatthours,512888.0
2019-01-11 17:00:00,US48,D,500554,megawatthours,500554.0
2019-01-11 18:00:00,US48,D,489439,megawatthours,489439.0
2019-01-11 19:00:00,US48,D,480987,megawatthours,480987.0
2019-01-11 20:00:00,US48,D,473527,megawatthours,473527.0
2019-01-11 21:00:00,US48,D,470008,megawatthours,470008.0
2019-01-11 22:00:00,US48,D,472632,megawatthours,472632.0
2019-01-11 23:00:00,US48,D,486676,megawatthours,486676.0
2019-01-12 00:00:00,US48,D,499483,megawatthours,499483.0
2019-01-12 01:00:00,US48,D,503309,megawatthours,503309.0
2019-01-12 02:00:00,US48,D,501356,megawatthours,501356.0
2019-01-12 03:00:00,US48,D,491013,megawatthours,491013.0
2019-01-12 04:00:00,US48,D,476165,megawatthours,476165.0
2019-01-12 05:00:00,US48,D,457950,megawatthours,457950.0
2019-01-12 06:00:00,US48,D,440691,megawatthours,440691.0
2019-01-12 07:00:00,US48,D,427293,megawatthours,427293.0
2019-01-12 08:00:00,US48,D,417452,megawatthours,417452.0
2019-01-12 09:00:00,US48,D,412130,megawatthours,412130.0
2019-01-12 10:00:00,US48,D,411899,megawatthours,411899.0
2019-01-12 11:00:00,US48,D,417265,megawatthours,417265.0
2019-01-12 12:00:00,US48,D,427193,megawatthours,427193.0
2019-01-12 13:00:00,US48,D,441422,megawatthours,441422.0
2019-01-12 14:00:00,US48,D,456824,megawatthours,456824.0
2019-01-12 15:00:00,US48,D,467826,megawatthours,467826.0
2019-01-12 16:00:00,US48,D,473152,megawatthours,473152.0
2019-01-12 17:00:00,US48,D,474064,megawatthours,474064.0
2019-01-12 18:00:00,US48,D,470815,megawatthours,470815.0
2019-01-12 19:00:00,US48,D,465424,megawatthours,465424.0
2019-01-12 20:00:00,US48,D,461164,megawatthours,461164.0
2019-01-12 21:00:00,US48,D,459454,megawatthours,459454.0
2019-01-12 22:00:00,US48,D,460320,megawatthours,460320.0
2019-01-12 23:00:00,US48,D,470078,megawatthours,470078.0
2019-01-13 00:00:00,US48,D,480382,megawatthours,480382.0
2019-01-13 01:00:00,US48,D,483365,megawatthours,483365.0
2019-01-13 02:00:00,US48,D,482462,megawatthours,482462.0
2019-01-13 03:00:00,US48,D,473702,megawatthours,473702.0
2019-01-13 04:00:00,US48,D,460870,megawatthours,460870.0
2019-01-13 05:00:00,US48,D,445118,megawatthours,445118.0
2019-01-13 06:00:00,US48,D,429756,megawatthours,429756.0
2019-01-13 07:00:00,US48,D,417934,megawatthours,417934.0
2019-01-13 08:00:00,US48,D,410391,megawatthours,410391.0
2019-01-13 09:00:00,US48,D,406434,megawatthours,406434.0
2019-01-13 10:00:00,US48,D,405498,megawatthours,405498.0
2019-01-13 11:00:00,US48,D,409806,megawatthours,409806.0
2019-01-13 12:00:00,US48,D,418484,megawatthours,418484.0
2019-01-13 13:00:00,US48,D,429436,megawatthours,429436.0
2019-01-13 14:00:00,US48,D,444983,megawatthours,444983.0
2019-01-13 15:00:00,US48,D,458783,megawatthours,458783.0
2019-01-13 16:00:00,US48,D,465218,megawatthours,465218.0
2019-01-13 17:00:00,US48,D,465390,megawatthours,465390.0
2019-01-13 18:00:00,US48,D,463362,megawatthours,463362.0
2019-01-13 19:00:00,US48,D,459756,megawatthours,459756.0
2019-01-13 20:00:00,US48,D,456678,megawatthours,456678.0
2019-01-13 21:00:00,US48,D,455848,megawatthours,455848.0
2019-01-13 22:00:00,US48,D,460746,megawatthours,460746.0
2019-01-13 23:00:00,US48,D,475067,megawatthours,475067.0
2019-01-14 00:00:00,US48,D,491758,megawatthours,491758.0
2019-01-14 01:00:00,US48,D,498338,megawatthours,498338.0
2019-01-14 02:00:00,US48,D,501587,megawatthours,501587.0
2019-01-14 03:00:00,US48,D,489516,megawatthours,489516.0
2019-01-14 04:00:00,US48,D,472305,megawatthours,472305.0
2019-01-14 05:00:00,US48,D,451824,megawatthours,451824.0
2019-01-14 06:00:00,US48,D,434938,megawatthours,434938.0
2019-01-14 07:00:00,US48,D,423885,megawatthours,423885.0
2019-01-14 08:00:00,US48,D,418482,megawatthours,418482.0
2019-01-14 09:00:00,US48,D,417619,megawatthours,417619.0
2019-01-14 10:00:00,US48,D,422528,megawatthours,422528.0
2019-01-14 11:00:00,US48,D,438545,megawatthours,438545.0
2019-01-14 12:00:00,US48,D,471160,megawatthours,471160.0
2019-01-14 13:00:00,US48,D,502888,megawatthours,502888.0
2019-01-14 14:00:00,US48,D,518243,megawatthours,518243.0
2019-01-14 15:00:00,US48,D,523565,megawatthours,523565.0
2019-01-14 16:00:00,US48,D,523120,megawatthours,523120.0
2019-01-14 17:00:00,US48,D,518029,megawatthours,518029.0
2019-01-14 18:00:00,US48,D,510323,megawatthours,510323.0
2019-01-14 19:00:00,US48,D,503319,megawatthours,503319.0
2019-01-14 20:00:00,US48,D,497138,megawatthours,497138.0
2019-01-14 21:00:00,US48,D,493594,megawatthours,493594.0
